retrain,ret_1h,ret_12h,dist_sma10,bb_upper_dist,bb_lower_dist,bb_bandwidth,bb_pct_b,rsi_14,rsi_7,macd_line,macd_signal,roc_12,volatility_12h,range,volume_ratio,obv_slope,adx_14,dema9_sma50_dist,tema7_sma50_dist,momentum_rank
26,0.2315688,0.058750097,0.051704116,0.036389854,0.040872995,0.03095473,0.049403653,0.075648375,0.06783087,0.01993256,0.020476326,0.053099047,0.09405642,0.02820218,0.02555468,0.038240045,0.018592084,0.018094748,0.017800866,0.022827554
27,0.23155323,0.047100462,0.06034184,0.038279425,0.042899515,0.031540852,0.051377237,0.07015174,0.06887432,0.020579364,0.020665726,0.051498376,0.09500039,0.02840166,0.026367204,0.036428303,0.018579904,0.0198403,0.017137995,0.023382155
28,0.23609237,0.048090924,0.0583896,0.03786262,0.04417903,0.031586774,0.050923824,0.07567418,0.06222986,0.021143874,0.020379651,0.045457166,0.09574855,0.02879862,0.025310243,0.03798169,0.01923613,0.019715527,0.017624298,0.02357515
29,0.23755084,0.058728125,0.061663695,0.036572248,0.04071423,0.030492898,0.051006664,0.07058107,0.065187134,0.021526406,0.020564616,0.046145953,0.09343072,0.02883581,0.024856133,0.035617314,0.018508632,0.019096652,0.016932579,0.021988226
30,0.23826878,0.061323833,0.06067268,0.03674559,0.040548492,0.03131198,0.05131465,0.07235839,0.05701983,0.02145552,0.020558223,0.049745396,0.09066267,0.029574445,0.02481939,0.035704322,0.018069595,0.019777693,0.017676093,0.022392347
31,0.23946662,0.062860176,0.054904785,0.03863132,0.04190183,0.031447742,0.05141714,0.067725986,0.058048606,0.020829799,0.02020997,0.052996818,0.094708085,0.03008302,0.024804087,0.03392366,0.018736321,0.018457385,0.017326841,0.021519728
32,0.23823234,0.059505753,0.053781334,0.03798869,0.03947726,0.03165919,0.05165542,0.07366168,0.06282528,0.020691717,0.020571308,0.046724092,0.0954972,0.03020245,0.024533272,0.035233952,0.018742653,0.019076435,0.01724271,0.022697272
33,0.23910697,0.058812425,0.05656033,0.037876096,0.039084855,0.030471038,0.050585203,0.07662932,0.060786854,0.01985833,0.02051724,0.04856691,0.09230875,0.029883135,0.024951478,0.03681916,0.018860241,0.018915756,0.01701238,0.02239353
34,0.24218473,0.056032512,0.058688525,0.03887511,0.039620873,0.029792415,0.05039794,0.06943983,0.06336475,0.021005925,0.02035019,0.051966116,0.09081466,0.029536735,0.024599629,0.03558867,0.018256392,0.019496718,0.01690904,0.02307924
35,0.23953041,0.060562722,0.053208172,0.038177885,0.041120883,0.030238222,0.052116156,0.07251459,0.061372343,0.01989172,0.019782478,0.049346488,0.09507528,0.028969722,0.024448121,0.03365188,0.018432744,0.020068752,0.017642498,0.023848996
36,0.24480854,0.060625646,0.054019433,0.036616337,0.038926676,0.030003453,0.049641468,0.06970501,0.062002096,0.01947201,0.020168152,0.056522485,0.092822,0.02963137,0.024457648,0.03319077,0.017697975,0.019028224,0.01685332,0.023807365
37,0.24701525,0.058479328,0.055339288,0.038687665,0.03695548,0.030196762,0.04892915,0.07050235,0.06726762,0.02005845,0.019519288,0.05192867,0.09030116,0.030293886,0.024529658,0.031756863,0.017760985,0.018774318,0.017170873,0.02453288
38,0.24886692,0.054883026,0.052256122,0.03872377,0.03715325,0.029281236,0.048380036,0.07118109,0.068751305,0.020045578,0.019560114,0.057286896,0.08953064,0.02899781,0.024838205,0.031509828,0.017291019,0.01866159,0.018558102,0.02424349
