retrain,ret_1h,ret_12h,dist_sma10,bb_upper_dist,bb_lower_dist,bb_bandwidth,bb_pct_b,rsi_14,rsi_7,macd_line,macd_signal,roc_12,volatility_12h,range,volume_ratio,obv_slope,adx_14,dema9_sma50_dist,tema7_sma50_dist,momentum_rank
26,0.2905922,0.038083777,0.052168906,0.028673418,0.038397774,0.026473258,0.050074395,0.07097437,0.070650354,0.0170446,0.019166855,0.033771656,0.08923822,0.024784328,0.03556227,0.03486273,0.017863024,0.016340856,0.01614057,0.029136457
27,0.2883361,0.0390993,0.053426046,0.029569335,0.03964802,0.02688648,0.05156119,0.06939693,0.06809327,0.018680591,0.018599728,0.033155814,0.087731965,0.025982985,0.03521388,0.033510603,0.017789006,0.017559692,0.016346615,0.029412452
28,0.30102423,0.040046815,0.0540908,0.028608136,0.039737362,0.025502175,0.049501795,0.06587605,0.065618426,0.017829522,0.019198172,0.033797484,0.08629566,0.025166009,0.034522496,0.030619893,0.01837059,0.017215699,0.016869606,0.030109169
29,0.29900017,0.039334543,0.05163914,0.028280588,0.038773023,0.025796847,0.050695103,0.06800816,0.065360464,0.017768256,0.018625071,0.034711193,0.08731163,0.024993308,0.035760015,0.033851065,0.018486476,0.016358105,0.016431682,0.02881514
30,0.3007941,0.038584337,0.053013574,0.029286124,0.037909687,0.028265357,0.05019724,0.067827545,0.06876226,0.017467428,0.018986037,0.029950421,0.08518512,0.024206001,0.035320297,0.033854954,0.017742813,0.01764897,0.01667097,0.028326744
31,0.30026624,0.03980306,0.05230701,0.027795529,0.03741743,0.02785986,0.04964252,0.06561123,0.06589561,0.017588675,0.018621746,0.035678655,0.08747622,0.02505928,0.035695102,0.033853486,0.017300684,0.01773804,0.01569688,0.02869273
32,0.2941047,0.040497325,0.05210991,0.02728598,0.0408097,0.027681006,0.05104557,0.06231089,0.065853775,0.0180517,0.019504413,0.03678596,0.08805731,0.025140168,0.03612423,0.03491717,0.017176904,0.017464293,0.0164999,0.028579134
33,0.29775655,0.04053328,0.050810695,0.026840296,0.041791547,0.02774999,0.051617593,0.06411917,0.064696506,0.017713364,0.018641729,0.036911476,0.08821911,0.024557957,0.035961866,0.03347453,0.016798161,0.017511243,0.016282625,0.028012272
34,0.3009147,0.038869306,0.051574595,0.027620703,0.037539635,0.027977642,0.050473023,0.064708054,0.064893246,0.018351603,0.019045515,0.034049597,0.091335975,0.02418501,0.03568273,0.031886354,0.017344566,0.01756263,0.0174089,0.028576214
35,0.30612847,0.036975443,0.053209234,0.027182559,0.037644576,0.027068364,0.04883663,0.06735881,0.06581603,0.017627105,0.01818426,0.034522258,0.08917843,0.024267673,0.03480932,0.031451464,0.016984941,0.017234383,0.017614724,0.027905345
36,0.2959778,0.03884497,0.05401847,0.026966594,0.037747093,0.028217051,0.050716583,0.065303564,0.06887379,0.017863404,0.018203547,0.03450142,0.092073016,0.02460402,0.034343228,0.030850848,0.017361822,0.017295226,0.016263792,0.029973783
37,0.29089054,0.042056303,0.052239176,0.027112437,0.036592543,0.027598035,0.050719094,0.070492774,0.067593835,0.018617164,0.018087793,0.035531554,0.091797546,0.02457525,0.034988638,0.03129028,0.017610742,0.01688635,0.016289214,0.029030709
38,0.3036157,0.039882183,0.05370265,0.027139334,0.03724258,0.027746286,0.049842604,0.06724594,0.061100867,0.017585615,0.017834237,0.034146626,0.090026975,0.024301425,0.03416471,0.031868625,0.017056983,0.018105637,0.01697819,0.030412847
