retrain,ret_1h,ret_12h,dist_sma10,bb_upper_dist,bb_lower_dist,bb_bandwidth,bb_pct_b,rsi_14,rsi_7,macd_line,macd_signal,roc_12,volatility_12h,range,volume_ratio,obv_slope,adx_14,dema9_sma50_dist,tema7_sma50_dist,momentum_rank
26,0.2515853,0.044311255,0.052427877,0.031048873,0.040335007,0.031219557,0.057357512,0.06662757,0.061721068,0.02166237,0.02025857,0.057246845,0.08951882,0.027316168,0.027760025,0.03503161,0.018875139,0.020483859,0.021236205,0.023976445
27,0.2650587,0.045248136,0.045540318,0.029260809,0.041325636,0.031836487,0.05601875,0.06759971,0.05595812,0.021596784,0.020486113,0.056862667,0.08763008,0.027527668,0.027949141,0.036361422,0.018307185,0.020602813,0.020345086,0.024484383
28,0.2637465,0.044040266,0.05074302,0.030055579,0.040491685,0.03125337,0.05529337,0.06914917,0.05859461,0.021382315,0.020282824,0.052650716,0.08846999,0.027503345,0.027506262,0.036372576,0.018420026,0.018854963,0.020644084,0.02454529
29,0.2750656,0.044579994,0.048138853,0.030858884,0.044486012,0.031674482,0.052622035,0.06887795,0.057642907,0.019964417,0.021016747,0.049826156,0.088770546,0.027175216,0.026125751,0.03180676,0.018556178,0.017888198,0.020621737,0.024301447
30,0.27536115,0.044185575,0.046038788,0.029429778,0.040917914,0.03151337,0.055193488,0.07176011,0.057747334,0.020290203,0.019668119,0.050675403,0.089986734,0.027453776,0.025883688,0.032919645,0.018382523,0.018794231,0.019634128,0.02416399
31,0.2742562,0.044801187,0.046542205,0.029873647,0.04293581,0.0315701,0.05418739,0.07061078,0.058970977,0.021142587,0.020414563,0.050707646,0.086273044,0.027563078,0.025951069,0.03288831,0.01850538,0.018609272,0.019627614,0.024569048
32,0.26709822,0.04710377,0.045316655,0.029168917,0.04178559,0.030186092,0.05417043,0.071761824,0.06022526,0.021291712,0.020121796,0.056013595,0.08806476,0.027060846,0.026083017,0.033115685,0.018242365,0.019241653,0.019488709,0.024459103
33,0.27911568,0.043956734,0.046600476,0.0284519,0.04013564,0.030049734,0.055149887,0.06920791,0.06184716,0.020871717,0.0196987,0.047470503,0.08865664,0.026843565,0.024704197,0.036038995,0.018065311,0.019100789,0.019850824,0.02418365
34,0.27353013,0.044230647,0.047053885,0.029018681,0.0438825,0.03126174,0.05492345,0.06821931,0.057350628,0.020655263,0.021215951,0.051133417,0.0891737,0.027089538,0.025592534,0.032509856,0.018713737,0.019283634,0.020663088,0.024498338
35,0.26942074,0.04582383,0.04596504,0.029233474,0.041772313,0.03134685,0.053889737,0.07071057,0.05690328,0.020677548,0.01975404,0.05727941,0.08990103,0.027167605,0.025715943,0.03250452,0.018349187,0.019468809,0.020146715,0.023969403
36,0.27793247,0.045290057,0.04698184,0.028895749,0.041181304,0.031189771,0.05391048,0.06743505,0.059022687,0.020730356,0.019746488,0.054602776,0.08686681,0.026755989,0.025653895,0.033292152,0.018060036,0.017812237,0.019678926,0.024960931
37,0.27823576,0.046066675,0.048604544,0.029797796,0.039546132,0.030388553,0.053382065,0.06565615,0.060173478,0.020068392,0.018927699,0.04955983,0.08978745,0.02792061,0.02594355,0.032552015,0.018150633,0.01903096,0.020578455,0.025629247
38,0.2837308,0.04541243,0.046452936,0.029583227,0.040285513,0.030755876,0.051789418,0.067199275,0.059070427,0.01974279,0.019173414,0.052777756,0.08862652,0.027083991,0.025661964,0.03106177,0.017785776,0.018168645,0.020316914,0.025320537
