retrain,ret_1h,ret_12h,dist_sma10,bb_upper_dist,bb_lower_dist,bb_bandwidth,bb_pct_b,rsi_14,rsi_7,macd_line,macd_signal,roc_12,volatility_12h,range,volume_ratio,obv_slope,adx_14,dema9_sma50_dist,tema7_sma50_dist,momentum_rank
22,0.31572354,0.045504533,0.038925145,0.030259743,0.03768774,0.026117427,0.05132697,0.056987386,0.053181276,0.021562457,0.018874198,0.043095008,0.08338141,0.0228234,0.036690317,0.038368464,0.016082667,0.020591004,0.016977718,0.025839612
23,0.32625172,0.042227145,0.04022412,0.02991527,0.03873033,0.025735317,0.04937903,0.05835896,0.0563098,0.020788873,0.018365623,0.039860934,0.08091453,0.022741636,0.034707557,0.037463076,0.015770745,0.018807,0.017985439,0.025462931
24,0.32504386,0.039412558,0.039400734,0.028740758,0.039659753,0.025373703,0.05065372,0.05971356,0.054557998,0.021334672,0.017843165,0.040004574,0.080547206,0.022662375,0.03522639,0.040444087,0.015676344,0.019233303,0.018513532,0.025957722
25,0.321233,0.037577752,0.038295966,0.03030553,0.037015446,0.026684247,0.0519116,0.05835126,0.058859106,0.02188164,0.01873548,0.040697843,0.079578295,0.023451818,0.03671761,0.03937477,0.015790494,0.019432157,0.017735468,0.026370555
26,0.32521787,0.03982014,0.038195927,0.028966332,0.037295233,0.025542984,0.052547317,0.058283452,0.058033105,0.020756364,0.018668663,0.03917725,0.08092843,0.02372107,0.035377886,0.038382802,0.015642017,0.01951589,0.017972201,0.025955135
27,0.3299395,0.037226193,0.041407514,0.030073928,0.035563968,0.02525116,0.05150687,0.056428764,0.058246475,0.021495402,0.01770121,0.039057314,0.08207456,0.023110058,0.035734322,0.038735833,0.015383958,0.018565414,0.017372238,0.025125332
28,0.33147565,0.038087763,0.043534897,0.030895097,0.03379695,0.0253156,0.052301303,0.058008347,0.058797076,0.02122497,0.018478177,0.035227213,0.08008331,0.022516828,0.035646483,0.038984023,0.01571216,0.018049382,0.01692504,0.024939729
29,0.32941017,0.038472265,0.042221405,0.030247392,0.03384856,0.024884705,0.053675596,0.059080802,0.0587027,0.019632708,0.018761609,0.03557151,0.080541484,0.022516292,0.036353365,0.039304778,0.015896875,0.019033868,0.016596898,0.025246987
30,0.32743368,0.03860036,0.04066884,0.0314077,0.034532856,0.024648385,0.05174199,0.05975902,0.056170814,0.019676592,0.01866197,0.041717406,0.0817625,0.02245414,0.034903843,0.03973169,0.016141023,0.018211497,0.01641267,0.025362998
31,0.33406994,0.03959634,0.04141879,0.030781578,0.032806758,0.023933606,0.049137328,0.058922667,0.056558505,0.018855598,0.018346155,0.044886246,0.08115863,0.021862678,0.034136757,0.037754737,0.01549517,0.017875604,0.01684946,0.025553446
32,0.31905952,0.03797043,0.04666107,0.032865252,0.032960963,0.02641753,0.052046753,0.06083197,0.0588867,0.019559098,0.018909078,0.03535382,0.08294787,0.022947315,0.035462327,0.038224086,0.015782071,0.01930156,0.017617373,0.026195236
33,0.3255557,0.038205095,0.04440956,0.029114155,0.031929005,0.024103025,0.051769014,0.060884085,0.06457755,0.01886268,0.017668711,0.043118596,0.08187317,0.021993859,0.034437392,0.036791854,0.015784323,0.017580364,0.015927607,0.025414197
34,0.33661348,0.03913568,0.040065452,0.030448668,0.031960387,0.023974957,0.05151578,0.059469096,0.060440104,0.018512487,0.017461687,0.045684233,0.08125206,0.021612134,0.033455014,0.03554652,0.015053154,0.01799179,0.015562119,0.024245266
35,0.3220752,0.03851557,0.03908336,0.03056184,0.030704465,0.023938805,0.052769594,0.06471863,0.06528974,0.019336078,0.0173795,0.04343265,0.08433264,0.021556908,0.0347051,0.03734041,0.01569028,0.017309232,0.016009735,0.025250325
36,0.31996155,0.037937954,0.040904406,0.030329654,0.030819198,0.023551062,0.053249326,0.06407383,0.062479008,0.019303787,0.017890912,0.04427915,0.08357037,0.02213237,0.03492459,0.03846783,0.0155113945,0.01829026,0.01676082,0.02556256
37,0.32473874,0.039217636,0.039247185,0.031291634,0.029728701,0.023908753,0.052084465,0.060709834,0.061676648,0.019097334,0.017622514,0.04790214,0.08145724,0.022188682,0.03560277,0.038167007,0.015555551,0.017836554,0.016249498,0.02571716
38,0.32788345,0.038230013,0.039212313,0.029437885,0.030296551,0.023748457,0.052830078,0.060910475,0.06528802,0.018528074,0.017459948,0.045229394,0.08088076,0.022508722,0.035615213,0.03689634,0.015365501,0.018275766,0.015964732,0.025438337
