timestamp,open,high,low,close,volume
2024-01-02 00:00:00+00:00,137.3322465738531,138.2243301608941,135.28043314911363,136.95558166503906,23711200
2024-01-03 00:00:00+00:00,136.04366979922918,138.4027561263541,135.87516579367383,137.69898986816406,24212100
2024-01-04 00:00:00+00:00,137.20337960162615,137.93688094484938,135.15158137245075,135.19122314453125,27137700
2024-01-05 00:00:00+00:00,135.54804155071932,135.95444150265752,133.96209863444332,134.53700256347656,22513900
2024-01-08 00:00:00+00:00,135.09211461031617,137.78820922289705,135.06237949599685,137.6197052001953,21404000
2024-01-09 00:00:00+00:00,137.28270282254584,140.24642871103555,136.93577297492843,139.71116638183594,24759600
2024-01-10 00:00:00+00:00,139.7607161678604,141.74313767378752,139.67151083001588,141.0294647216797,21320200
2024-01-11 00:00:00+00:00,142.2288332953947,143.9436236258308,139.40387666099627,140.8312225341797,24008700
2024-01-12 00:00:00+00:00,141.41602290609686,141.94136334539857,140.57350292074238,141.3961944580078,18785500
2024-01-16 00:00:00+00:00,140.75192640999762,143.08127772087843,140.20675747291105,141.2376251220703,22670500
2024-01-17 00:00:00+00:00,140.10765256153263,140.59333617350276,137.6791740029759,140.22659301757812,20968600
2024-01-18 00:00:00+00:00,140.8015088041436,142.94252793905105,140.74203857117578,142.21893310546875,25746400
2024-01-19 00:00:00+00:00,143.4678295070268,145.16279118468964,143.11099308151773,145.09341430664062,34271900
2024-01-22 00:00:00+00:00,145.80710794511032,147.0857631627537,144.55817271543333,144.7068634033203,32200400
2024-01-23 00:00:00+00:00,144.60771819556675,145.8863732533205,144.2211466548808,145.7476043701172,21636100
2024-01-24 00:00:00+00:00,147.2344232959612,148.53292195218594,146.79830331468807,147.3930206298828,25233500
2024-01-25 00:00:00+00:00,148.7509891835985,151.7047926793007,148.22563362553456,150.53515625,29149100
2024-01-26 00:00:00+00:00,149.77193994469403,151.19927062056652,149.68271948865382,150.85235595703125,26115500
2024-01-29 00:00:00+00:00,150.72348371697814,152.42836718497855,150.0990161895496,152.16073608398438,27784300
2024-01-30 00:00:00+00:00,151.4570029311418,152.26978786685433,149.86115304703833,150.1287841796875,36331800
2024-01-31 00:00:00+00:00,142.35767251765228,142.7343374146145,138.64063248081334,138.86862182617188,71910000
2024-02-01 00:00:00+00:00,140.8708500003378,141.8025904131777,139.55253804649774,139.91929626464844,40466500
2024-02-02 00:00:00+00:00,138.03598318915266,141.36645142167342,135.30024736856095,141.12857055664062,62499600
2024-02-05 00:00:00+00:00,141.56471810110367,144.19142038150497,141.52506120365902,142.41714477539062,38505400
2024-02-06 00:00:00+00:00,143.37861935248668,144.08238559279584,141.93146022405054,142.83346557617188,29128200
2024-02-07 00:00:00+00:00,143.4876448849679,144.3400866289689,142.66493824979582,144.2607879638672,25208900
2024-02-08 00:00:00+00:00,144.5482800524002,145.04388547733828,143.82470036690026,144.62757873535156,22563800
2024-02-09 00:00:00+00:00,145.39076798904887,148.1265190084021,144.89516267391085,147.6903839111328,26829500
2024-02-12 00:00:00+00:00,147.11549911454978,148.02741119835667,146.07472479210762,146.2333221435547,21564100
2024-02-13 00:00:00+00:00,143.6462512860247,145.3808699923918,142.42706637302987,143.86431884765625,27837700
2024-02-14 00:00:00+00:00,144.79604121304055,145.2321762817776,142.82352674295169,144.6572723388672,22704200
2024-02-15 00:00:00+00:00,141.88189508654546,142.25855998207064,139.22545774352974,141.51515197753906,37590700
2024-02-16 00:00:00+00:00,141.7332189292563,141.9314580380152,138.90826247425002,139.28492736816406,31468900
2024-02-20 00:00:00+00:00,138.432479628036,140.83120752749184,138.26397563661223,139.879638671875,25144700
2024-02-21 00:00:00+00:00,140.20675080076072,141.43585751636738,139.44351432516038,141.29708862304688,23223300
2024-02-22 00:00:00+00:00,143.65616072853092,143.7255527379726,141.5448922041246,142.82354736328125,27191900
2024-02-23 00:00:00+00:00,142.40725779738116,143.40837528845117,142.16936175385501,142.69471740722656,19493800
2024-02-26 00:00:00+00:00,140.89067986576057,141.18804608290887,136.18242932238044,136.36085510253906,53641800
2024-02-27 00:00:00+00:00,136.8069057229925,138.02609065509074,135.8850719026194,137.6593475341797,33099200
2024-02-28 00:00:00+00:00,136.6879649944579,136.79699878882042,134.21985975111554,135.18133544921875,37328600
2024-02-29 00:00:00+00:00,136.0734054858856,137.63952022756177,135.20113521845195,137.2430419921875,42133000
2024-03-01 00:00:00+00:00,137.21328646339086,137.6494215802847,135.71656378920932,135.93463134765625,31151100
2024-03-04 00:00:00+00:00,134.46764221027212,134.46764221027212,130.75060222297805,132.17794799804688,55999400
2024-03-05 00:00:00+00:00,130.7208868800359,132.06893419092674,129.52151514124904,131.50393676757812,40194800
2024-03-06 00:00:00+00:00,131.94997037211849,132.4059339725702,129.6999328564518,130.24508666992188,35318600
2024-03-07 00:00:00+00:00,131.62283165580885,133.75394324110144,130.4532105610568,133.19886779785156,37738200
2024-03-08 00:00:00+00:00,133.03041390483907,136.8763016912152,132.822252972934,134.21986389160156,39370400
2024-03-11 00:00:00+00:00,134.93353345070832,137.8774307891928,134.93353345070832,136.45999145507812,32437800
2024-03-12 00:00:00+00:00,135.82560336197784,138.15495459716567,135.82560336197784,137.28268432617188,27563400
2024-03-13 00:00:00+00:00,137.7783056881699,139.8499326977314,137.7683990247307,138.5613555908203,23347200
2024-03-14 00:00:00+00:00,139.9490235510771,142.32792288200474,139.22544406599317,141.8422393798828,42753400
2024-03-15 00:00:00+00:00,141.24752279739727,141.9215388042357,138.7992311922684,139.93911743164062,49475400
2024-03-18 00:00:00+00:00,147.30383769364138,150.81271727318136,145.8764917207178,146.3820037841797,69273700
2024-03-19 00:00:00+00:00,146.8578050483476,147.4822576070713,144.79608463895917,145.73773193359375,24070400
2024-03-20 00:00:00+00:00,146.69917689330697,147.5516186613226,145.45025691328723,147.43267822265625,21311500
2024-03-21 00:00:00+00:00,148.15627845947205,149.04836212342065,145.60885946127715,146.30271911621094,24755600
2024-03-22 00:00:00+00:00,147.8093478613808,150.24773305463123,147.6705789560528,149.44485473632812,29211800
2024-03-25 00:00:00+00:00,148.62211434931658,149.05824941731626,146.5207527940521,148.7509765625,19229300
2024-03-26 00:00:00+00:00,148.89967658168865,150.92173980939236,148.66178056238658,149.34571838378906,22149100
2024-03-27 00:00:00+00:00,149.85121819279237,150.30718174477965,147.59125913003174,149.5439453125,22879200
2024-03-28 00:00:00+00:00,149.52414052577765,150.09902942352818,148.85010938322958,149.60342407226562,24485400
2024-04-01 00:00:00+00:00,149.36556739992474,154.37118528416661,149.28626871590512,154.12338256835938,31730800
2024-04-02 00:00:00+00:00,152.15084190883346,153.34029171966787,150.81270141872292,153.20152282714844,24586000
2024-04-03 00:00:00+00:00,152.2499745660593,153.71696221529052,151.38761094398126,153.55836486816406,24705000
2024-04-04 00:00:00+00:00,152.15082101266947,153.40966265921364,149.12762577868838,149.20692443847656,34724700
2024-04-05 00:00:00+00:00,148.71134571985755,152.07154951460475,148.28513236262637,151.15963745117188,23459200
2024-04-08 00:00:00+00:00,151.4371847974656,153.9053051340792,151.2686807764452,153.48899841308594,20702000
2024-04-09 00:00:00+00:00,154.71809036518897,157.16638225469364,153.82600669377314,155.22361755371094,31079500
2024-04-10 00:00:00+00:00,154.8370159038482,155.23349409762253,153.32044975721098,154.7676239013672,22838600
2024-04-11 00:00:00+00:00,155.5308692093835,158.27651186403895,155.0848274346832,158.00889587402344,27166400
2024-04-12 00:00:00+00:00,156.57163251549102,158.81176301923506,155.75883256632315,156.34364318847656,25353700
2024-04-15 00:00:00+00:00,157.46371316511042,157.8403780249784,153.23123975840457,153.49887084960938,27136500
2024-04-16 00:00:00+00:00,152.83479243864417,154.28195170620987,152.0814625667883,153.04293823242188,20779500
2024-04-17 00:00:00+00:00,154.25219116747795,155.69936532118263,153.2213387820589,154.103515625,21763100
2024-04-18 00:00:00+00:00,153.97468451361368,155.56062786894117,153.26101151618397,154.6387939453125,19883000
2024-04-19 00:00:00+00:00,154.82711196963538,154.98570931530094,150.96139619825826,152.73565673828125,32615600
2024-04-22 00:00:00+00:00,152.95373142080075,156.2544650981797,152.70592872842704,154.9064178466797,26446200
2024-04-23 00:00:00+00:00,155.58044145804854,157.57276956282405,154.90641030278562,156.86900329589844,21151600
2024-04-24 00:00:00+00:00,156.10578401898567,158.16750416167633,155.7885893241061,157.7313690185547,22779100
2024-04-25 00:00:00+00:00,149.99992338282905,155.11457444082362,149.5439597867095,154.62887573242188,57109700
2024-04-26 00:00:00+00:00,172.83738750533027,173.1744106041274,168.1588722627277,170.43865966796875,64665300
2024-04-29 00:00:00+00:00,167.57409377755957,168.0597925096593,163.75794130995203,164.68966674804688,45610000
2024-04-30 00:00:00+00:00,164.1544172520467,166.62253752967678,161.1708782605576,161.3492889404297,33562900
2024-05-01 00:00:00+00:00,162.8559349699541,165.65114151829926,161.656563265471,162.4197998046875,33493200
2024-05-02 00:00:00+00:00,163.34161532186556,165.26456662605938,162.44953168316837,165.15553283691406,24294500
2024-05-03 00:00:00+00:00,166.0872448331008,166.48373814579705,161.61689049574852,165.7700653076172,34662400
2024-05-06 00:00:00+00:00,165.98816902107558,166.66218511253274,164.57072969688807,166.62254333496094,21871300
2024-05-07 00:00:00+00:00,167.0190279549926,170.2503698758849,166.90999415668176,169.74485778808594,28039700
2024-05-08 00:00:00+00:00,167.51461620426056,168.65450251317668,167.2569068549834,167.8912811279297,19569100
2024-05-09 00:00:00+00:00,167.90118913341487,169.18976613945827,166.70181746537216,168.4661865234375,15346700
2024-05-10 00:00:00+00:00,166.55313303769844,168.35714377508077,164.72930897604326,167.1676788330078,29799900
2024-05-13 00:00:00+00:00,162.81625335334653,167.79213497268913,162.55854403329832,167.6533660888672,31327600
2024-05-14 00:00:00+00:00,168.2778674212393,169.74485521976186,167.3163917028671,168.8428497314453,25127100
2024-05-15 00:00:00+00:00,169.1302630655646,171.13249751141433,169.0113075133248,170.9937286376953,26948400
2024-05-16 00:00:00+00:00,171.7669014209654,173.58081887894542,171.17218405543662,172.64907836914062,27867900
2024-05-17 00:00:00+00:00,172.64907697879545,174.72071889069628,172.1633934028928,174.51255798339844,24479300
2024-05-20 00:00:00+00:00,174.64141067889267,177.1987360270171,174.53237690001112,175.364990234375,22554400
2024-05-21 00:00:00+00:00,175.34517242175946,176.584185836624,174.2647563539197,176.28683471679688,16989400
2024-05-22 00:00:00+00:00,175.08745176039344,175.5929637561036,173.6700277652412,174.82974243164062,17880000
2024-05-23 00:00:00+00:00,175.51372487668218,176.68334650251944,171.42992560121152,172.024658203125,21024900
2024-05-24 00:00:00+00:00,173.44204354526818,174.22510846580246,172.12373150315187,173.45196533203125,16579400
2024-05-28 00:00:00+00:00,172.9167057345963,175.7119272031069,172.83740706265183,174.8495635986328,20572200
2024-05-29 00:00:00+00:00,173.88807266741404,175.2856832784532,173.18432159354813,174.35394287109375,23388700
